osm_type,osm_id,name,brand,lat,lon
node,11586904369,Total,TotalEnergies,41.0869954,28.8893126
node,11586904371,Kadoil,Kadoil,41.082074,28.8930849
node,11586904373,Opet,Opet,41.0808264,28.8933585
node,11586904374,Petrol Ofisi,Petrol Ofisi,41.0785947,28.8955669
node,11586904376,Aytemiz,Aytemiz,41.0780506,28.8990355
node,11586904378,Shell,Shell,41.0743185,28.9050783
node,11586904405,Shell,Shell,41.0700316,28.9065991
node,11586915454,Shell,Shell,41.0825089,28.9167443
node,11586915455,Opet,Opet,41.0794953,28.9304409
node,11586915843,Opet,Opet,41.0656572,28.9874809
node,11586915844,Aytemiz,Aytemiz,41.0595306,28.9761503
node,11586915845,Opet,Opet,41.0565105,28.9651124
node,11586916173,Petrol Ofisi,Petrol Ofisi,41.0837014,28.909015
node,11586920372,Opet,Opet,41.056679,28.9391349
node,11586920373,BP,BP,41.0576209,28.9419382
node,11586920374,Shell,Shell,41.0662352,28.9429632
node,11586920375,Total,TotalEnergies,41.0693304,28.9331484
node,11586944901,Opet,Opet,41.051054,28.9076389
node,11586946749,Opet,Opet,41.0700559,28.8925457
node,11586946751,Opet,Opet,41.0815516,28.8961251
node,11594777248,Opet,Opet,41.0869448,28.9504627
node,11594805019,Total,TotalEnergies,41.1074455,29.0152133
node,11594805021,BP,BP,41.1084252,29.0233092
node,11594805023,Shell,Shell,41.1157315,29.0232159
node,11594829620,Opet,Opet,41.0695795,28.916474
node,11594829628,Shell Sefaköy,Shell,40.9963146,28.7966461
node,11594831193,Petrol Ofisi,Petrol Ofisi,41.0657354,28.9334658
node,11594848769,Opet,Opet,41.1013118,28.9799955
node,11597376277,BP,BP,41.0010194,28.6181483
node,11597376278,Shell,Shell,41.0058414,28.6223911
node,11597376279,Opet,Opet,41.0163417,28.6259075
node,11597376320,Opet,Opet,41.0189519,28.6311127
node,11597376321,Petrol Ofisi,Petrol Ofisi,41.0199328,28.6316143
node,11597376322,Shell,Shell,41.009743,28.6550438
node,11597376324,Aytemiz,Aytemiz,41.0293532,28.6825976
node,11597376325,Shell,Shell,41.0321617,28.6819427
node,11597376326,Shell,Shell,41.0319562,28.674315
node,11597376328,Opet,Opet,41.0510066,28.6877366
node,11597382608,Opet,Opet,41.1921501,28.5708984
node,11597382610,Opet,Opet,41.1955155,28.5699581
node,11597382612,Turkish Petrol,,41.2770965,28.6124561
node,11597382614,Total,TotalEnergies,41.2450241,28.7014848
node,11597382616,Total,TotalEnergies,41.2435451,28.7040755
node,11597382625,Petrol Ofisi,Petrol Ofisi,41.179233,28.8840084
node,11597382626,Shell,Shell,41.1560027,29.0357557
node,11597506824,BP,BP,41.0950742,28.8959035
node,11741162818,Shell,Shell,40.9161243,29.169956
node,11744840531,,,40.8982602,29.1641302
node,12009680069,,,41.305529,28.2418501
node,12169841706,Opet,Opet,41.0554432,29.1887592
node,12169841707,Opet,Opet,41.0552294,29.1847871
node,12185834427,,,41.083835,28.9488526
node,12198501225,Shell,Shell,41.0044928,29.030382
node,12199038026,,,41.0512982,29.0644395
node,12205869388,Petrol Ofisi,Petrol Ofisi,40.9815951,28.884321
node,12213415959,Shell,Shell,41.1013536,28.9659513
node,12217538551,,,41.1028138,29.0000549
node,12240815361,Total Energies,TotalEnergies,40.9172131,29.3543737
node,12240815362,Total Tuzla,TotalEnergies,40.9206579,29.3502175
node,12240935663,BP,BP,40.9108193,29.1991062
node,12240988992,GO Yakıt,İpragaz,41.0517471,28.9106435
node,12240988994,Petrol Ofisi,Petrol Ofisi,41.055581,28.9096727
node,12241268039,,,41.0807449,28.8941561
node,12243925975,TotalEnergies,TotalEnergies,41.1111874,28.7962122
node,12250404051,Total,TotalEnergies,40.9969726,28.8716266
node,12250435536,Opet,Opet,40.9740305,28.8731698
node,12307722101,Shell,Shell,41.0310203,29.230925
node,12438991422,Petrol Ofisi,Petrol Ofisi,41.129753,28.8377788
node,12441887647,BP,BP,41.0283824,28.4598276
node,12821056291,Türkiye Petrolleri,Türkiye Petrolleri,40.9813442,29.1650507
node,12871111807,S Oil,S Oil,41.056844,28.9964243
node,12961307634,TotalEnergies,TotalEnergies,40.9044049,29.163743
node,13058788561,OPET,Opet,40.8882781,29.3751917
way,225470928,Türkiye Petrolleri,Türkiye Petrolleri,41.0352907,28.9936989
way,229914140,Petrol Ofisi,Petrol Ofisi,41.0225385,29.0753418
way,363637322,,,40.9993212,29.1816253
way,404568673,BP,BP,40.9314128,29.1287879
way,499316078,Shell,Shell,40.9752336,29.0522882
way,499614869,Shell,Shell,40.9261964,29.3510894
way,554699358,Petrol Ofisi,Petrol Ofisi,41.0129288,28.7917857
way,1000476249,Opet,Opet,41.0647311,28.6716933
way,1323152130,Shell,Shell,41.0983924,28.7910556
way,1326208723,SOCAR,SOCAR,41.2574997,28.7025077
way,1327932392,Opet,Opet,41.0926542,28.9172461
way,1328615126,,,40.9916928,29.2238494
way,1330404728,Termo,termo,41.0696317,28.9031435
way,1331301679,Opet,Opet,41.083839,28.8122704
way,1331735729,Opet,Opet,41.0519538,28.9112213
way,1331735730,Energy,Energy,41.054143,28.9104477
way,1334760761,Shell,Shell,41.0840749,28.8105147
way,1338333199,Shell,Shell,41.0987516,28.7891186
way,1341105372,Shell,Shell,41.0453417,28.9170198
way,1342730996,TotalEnergies,TotalEnergies,41.25183,28.7384002
way,1348957922,,,41.003927,29.2168552
way,1349551960,Opet,Opet,41.1974456,29.1462511
way,1362930977,Shell,Shell,41.137158,28.8113126
way,1363626790,TotalEnergies,TotalEnergies,40.9819902,28.6824242
way,1363924454,,,40.8521033,29.3115774
way,1365202373,,,41.036882,29.1555844
way,1365202374,,,41.0370596,29.1556618
way,1365252224,Aytemiz,Aytemiz,41.1992848,28.8261295
way,1365252225,Shell,Shell,41.1958837,28.8222872
way,1375210243,Shell,Shell,41.0495087,28.8205087
way,1383338957,Petrol Ofisi,Petrol Ofisi,40.9749913,29.2407212
way,1383512553,,,40.9892906,29.1952693
way,1383516712,Opet,Opet,40.987698,29.1438224
way,1383516714,Petrol Ofisi,Petrol Ofisi,40.9885285,29.1455384
way,1384283544,Opet,Opet,41.0164513,29.1459069
way,1384283545,,,41.0167684,29.1415353
way,1384652933,Petrol Ofisi,Petrol Ofisi,41.008602,29.2016653
way,1392693608,Petrol Ofisi,Petrol Ofisi,41.091562,28.6342045
way,1395490267,,,40.9890925,29.1940295
way,1395490271,,,40.988065,29.1931268
way,1411773074,,,41.2034191,28.7598629
way,1418767436,Opet,Opet,41.1135019,28.7979874
way,1424199385,Sunpet,Sunpet,41.4100924,28.1854179
way,1424199386,Energy,,41.4103585,28.1848709
way,1424261394,Opet,Opet,41.084085,28.7844624
way,1424454806,Shell,Shell,41.0902612,28.6341511
way,1425442035,Petrol Ofisi,Petrol Ofisi,41.1039976,28.7829606
way,1426428474,Opet,Opet,40.9172729,29.1437507
way,1449719989,Petrol Ofisi,Petrol Ofisi,41.0686901,28.6606461
way,1457542359,Opet,Opet,41.0833601,28.9998088
way,1457608138,TotalEnergies,TotalEnergies,41.0364956,29.0654622
way,1458245698,BP,BP,41.0096292,29.2108598
way,1463902928,,,41.0168551,29.076225
way,1463906395,,,41.0242908,29.0549021
way,1466274094,,,40.9405848,29.3698435
way,1466274095,,,40.9427977,29.3734955
way,1466816205,,,41.0136909,29.2462526
way,1466829119,,,41.0141006,29.1636497
way,1466829137,,,41.0205186,29.1296318
way,1468004382,Shell,Shell,41.0563547,28.3703412
way,1468074266,Opet,Opet,40.9777426,29.22051
way,1468074280,,,40.9694396,29.2201763
way,1470145896,Opet,Opet,41.1990644,29.1485537
way,1471445387,,,41.1204568,28.7824643
way,1471776252,,,41.0370436,29.1553228
way,1472906656,,,41.0329489,29.1108854
way,1472906878,Petrol Ofisi,Petrol Ofisi,41.0164743,29.1776657
way,1476871584,,,41.1365953,28.6229659
